Iepirkuma ID,Nr,Atbilde,Sagaidāmā atbilde,Pamatojums
LNP_201976,24,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Publisko iepirkumu likuma (PIL) 68. pants skaidri nosaka, ka persona, kura ir vai ir bijusi ieinteresēta iegūt tiesības noslēgt iepirkuma līgumu vai pretendē uz iepirkuma līguma slēgšanas tiesību piešķiršanu, ir tiesīga iesniegt iesniegumu Iepirkumu uzraudzības birojam par kandidātu vai pretendentu atlases noteikumiem, tehniskajām specifikācijām un citām prasībām, kas attiecas uz konkrēto iepirkuma procedūru, vai par pasūtītāja vai iepirkuma komisijas darbību iepirkuma procedūras laikā. Šīs tiesības ir detalizēti aprakstītas PIL 68. panta 1. daļā un turpmākajās daļās.""
}
```"
LNP_201976,26,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīts pasūtītāja nosaukums, adrese un rekvizīti, kas atbilst prasībām."",
  ""name"": ""Limbažu novada pašvaldība"",
  ""address"": ""Rīgas iela 16, Limbaži, Limbažu novads, LV-4001"",
  ""requisites"": {
    ""registration_number"": ""90009114631"",
    ""bank_details"": {
      ""bank_name"": ""Valsts kase"",
      ""account_number"": ""LV98TREL9802563022000"",
      ""bank_code"": ""TRELLV22""
    }
  }
}
```"
LNP_201976,27,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīta piedāvājuma iesniegšanas un atvēršanas vieta, datums, laiks un atvēršanas kārtība. Piedāvājumu iesniegšanas termiņš ir līdz 2020. gada 27. janvāra plkst. 10:00, un piedāvājumi tiek atvērti tūlīt pēc iesniegšanas termiņa beigām. Piedāvājumi ir iesniedzami tikai elektroniski, izmantojot EIS e-konkursu apakšsistēmu, un atvēršana notiek EIS e-konkursu apakšsistēmā."",
  ""place"": ""EIS e-konkursu apakšsistēma"",
  ""date_time"": ""2020-01-27T10:00:00"",
  ""order"": ""Piedāvājumi tiek atvērti tūlīt pēc iesniegšanas termiņa beigām, un atvēršana notiek elektroniski EIS e-konkursu apakšsistēmā.""
}
```"
LNP_201976,28,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīts, ka līguma izpildes vieta ir Cēsu iela 7, Limbaži, un izpildes termiņš ir 12 mēneši no būvdarbu uzsākšanas dienas, neņemot vērā tehnoloģisko pauzi."",
  ""time"": ""12 mēneši no būvdarbu uzsākšanas dienas"",
  ""place"": ""Cēsu iela 7, Limbaži""
}
```"
LNP_201976,29,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Iepirkuma dokumentācijā norādīts, ka piedāvājumu iesniegšanas termiņš ir līdz 2020. gada 27. janvāra plkst. 10:00, un tas sakrīt ar paziņojumā par līgumu norādīto termiņu."",
  ""procurement_type"": ""atklāts konkurss""
}
```"
LNP_201976,31-0,nē,nē,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā skaidri norādīts, ka iepirkuma procedūra ir atklāts konkurss. Piemēram, 1. pielikumā ir minēts: 'Atklāta konkursa „Sociālo pakalpojumu centra Cēsu ielā 7, Limbažos būvdarbi”, iepirkuma identifikācijas Nr. LNP 2019/76, nolikumam'.""
}
```"
LNP_201976,31,n/a,n/a,
LNP_201976,32-0,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīts, ka piedāvājumi tiek iesniegti atklātā konkursā, un nav minētas citas procedūras, piemēram, konkursa dialogs vai procedūra ar sarunām. Piemēram, teikts: 'Piedāvājumu iesniegšanas termiņš ir līdz 2020. gada 27. janvāra plkst. 10:00, un tie tiks atvērti tūlīt pēc piedāvājumu iesniegšanas termiņa beigām.'""
}
```"
LNP_201976,32,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājumu atvēršana notiek atklātā sanāksmē: 'Piedāvājumu atvēršana notiek atklātā sanāksmē.'"",
  ""procurement_type"": ""atklāts konkurss""
}
```"
LNP_201976,33-0,kontekstā nav informācijas,nē,"```json
{
  ""answer"": ""kontekstā nav informācijas"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir sniegta informācija par atklāta konkursa nolikumu un procedūrām, bet nav norādīts, ka tiek piemērots slēgts konkurss, konkursa procedūra ar sarunām vai konkursa dialogs. Lai atbildētu uz šo jautājumu, būtu nepieciešama konkrēta informācija par iepirkuma procedūras veidu, kas nav ietverta dotajā kontekstā.""
}
```"
LNP_201976,33,jā,n/a,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Saskaņā ar <law>MK107</law> 26.14., 63.13., 104.13. un 139.12. punktiem, ja tiek piemērota kandidātu skaita samazināšana, nolikumā jāietver kandidātu vērtēšanas metodika. Kontekstā ir norādīts, ka piedāvājumu vērtēšanas gaitā komisija ir tiesīga pieprasīt izskaidrot tehniskajā un finanšu piedāvājumā iekļauto informāciju, kā arī ir noteikti kritēriji, piemēram, piedāvātās līgumcenas salīdzināšana un tehnisko prasību atbilstības pārbaude. Tādējādi vērtēšanas metodika ir noteikta atbilstoši prasībām.""
}
```"
LNP_201976,34-0,nē,nē,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīts, ka tiek piemērots atklāts konkurss. Piemēram, kontekstā minēts: 'Atklāta konkursa nolikuma pielikumi' un 'Atklāta konkursa „Sociālo pakalpojumu centra Cēsu ielā 7, Limbažos būvdarbi”'. Nav norāžu, ka tiktu piemērots slēgts konkurss, konkursa procedūra ar sarunām vai konkursa dialogs.""
}
```"
LNP_201976,34,n/a,n/a,
LNP_201976,35-0,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Nolikuma tekstā ir skaidri norādīts gan piedāvājuma nodrošinājums, gan saistību izpildes nodrošinājums. Piedāvājuma nodrošinājums ir 9000,00 euro, un tam jābūt spēkā no piedāvājuma iesniegšanas termiņa beigām līdz 2020. gada 2. aprīlim. Saistību izpildes nodrošinājums ir 30 000,00 euro apmērā, un tas jāiesniedz līdz darbu izpildes uzsākšanai.""
}
```"
LNP_201976,35.1,nē,jā,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājuma nodrošinājuma apmērs ir 9000,00 euro, kas ir konkrēta summa. Tomēr nav minēts, ka šī summa ir mazāka vai vienāda ar 2% no paredzamās līgumcenas (bez PVN). Tādējādi apgalvojums, ka piedāvājuma nodrošinājuma apmērs nav lielāks par 2% no paredzamās līgumcenas, nav pamatots ar kontekstā sniegto informāciju.""
}
```"
LNP_201976,35.2-0,nē,jā,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts: 'Iepirkuma priekšmets nav sadalīts daļās, jo veicamie darbi ir savstarpēji saistīti un ir veicami vienlaicīgi.'""
}
```"
LNP_201976,35.2,n/a,jā,
LNP_201976,35.3,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājuma nodrošinājums drīkst būt iesniegts vienā no trim veidiem: bankas garantija, apdrošināšana par piedāvājuma nodrošinājuma summu vai naudas summas iemaksa Pasūtītāja kontā. Tāpat saistību izpildes nodrošinājums var tikt iesniegts atbilstoši nolikuma prasībām, piemēram, kā garantija no kredītiestādes vai apdrošinātāja. Šie noteikumi apliecina, ka piegādātājam ir tiesības brīvi izvēlēties veidu, kādā iesniegt šos nodrošinājumus.""
}
```"
LNP_201976,35.4,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Saskaņā ar kontekstu, piedāvājuma nodrošinājuma termiņš ir noteikts no piedāvājuma iesniegšanas termiņa beigām līdz 2020. gada 2. aprīlim. Piedāvājumu atvēršana notiek 2020. gada 27. janvārī, un termiņš līdz 2. aprīlim ir mazāks par 6 mēnešiem. Tas atbilst <law> noteikumam, ka piedāvājuma nodrošinājuma termiņš nedrīkst pārsniegt 6 mēnešus no piedāvājumu atvēršanas dienas.""
}
```"
LNP_201976,35.5,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Piedāvājuma nodrošinājuma spēkā esamības termiņš ir noteikts atbilstoši PIL 50. panta 5. vai 7. daļai. Kontekstā ir norādīts, ka piedāvājuma nodrošinājums ir spēkā īsākajā no šādiem termiņiem: nolikuma 6.1. punktā noteiktajā piedāvājuma nodrošinājuma spēkā esības termiņā, līdz iepirkuma līguma noslēgšanai vai līdz saistību izpildes nodrošinājuma iesniegšanai. Šie nosacījumi atbilst PIL 50. panta 5. un 7. daļā minētajiem noteikumiem.""
}
```"
LNP_201976,35.6-0,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka 'ja Pretendentam, kura piedāvājums izraudzīts saskaņā ar piedāvājuma izvēles kritēriju, pēc līguma noslēgšanas jāiesniedz saistību izpildes nodrošinājums (līguma izpildes spējas garantija), tad piedāvājuma nodrošinājumam attiecībā uz uzvarējušo Pretendentu jābūt spēkā līdz dienai, kad Pretendents iesniedz saistību izpildes nodrošinājumu (līguma izpildes spējas garantiju)'.""
}
```"
LNP_201976,35.6,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Saskaņā ar <law>PIL</law> 7. punktu un <context>konteksta</context> informāciju, piedāvājuma nodrošinājumam attiecībā uz uzvarējušo Pretendentu jābūt spēkā līdz dienai, kad tas iesniedz saistību izpildes nodrošinājumu (līguma izpildes spējas garantiju).""
}
```"
LNP_201976,35.7,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājuma nodrošinājums drīkst būt bankas garantija, apdrošināšana par piedāvājuma nodrošinājuma summu vai naudas summas iemaksa Pasūtītāja kontā. Nav minēts, ka būtu obligāti jāizmanto konkrēta piedāvājuma nodrošinājuma forma (veidlapa).""
}
```"
LNP_201976,35.8-0,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Nolikuma 7. punktā ir noteikti gadījumi, kad nodrošinājuma devējs izmaksā pasūtītājam piedāvājuma nodrošinājuma summu. Šie gadījumi ir: 1) Pretendents atsauc savu piedāvājumu, kamēr ir spēkā piedāvājuma nodrošinājums; 2) Pretendents, kuram piešķirtas iepirkuma līguma slēgšanas tiesības, neparaksta iepirkuma līgumu Pasūtītāja noteiktajā termiņā; 3) Pretendents, kuram piešķirtas iepirkuma līguma slēgšanas tiesības, Pasūtītāja noteiktajā termiņā nav iesniedzis tam iepirkuma nolikumā un iepirkuma līgumā paredzēto saistību izpildes nodrošinājumu (līguma izpildes spējas garantiju).""
}
```"
LNP_201976,35.8,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Saskaņā ar <law>PIL</law> 50. panta 6. daļu, nodrošinājuma devējs izmaksā pasūtītājam vai pasūtītājs ietur pretendenta iemaksāto piedāvājuma nodrošinājuma summu šādos gadījumos: 1) pretendents atsauc savu piedāvājumu, kamēr ir spēkā piedāvājuma nodrošinājums; 2) pretendents, kuram piešķirtas iepirkuma līguma slēgšanas tiesības, pasūtītāja noteiktajā termiņā nav iesniedzis tam iepirkuma procedūras dokumentos un iepirkuma līgumā paredzēto saistību izpildes nodrošinājumu; 3) pretendents, kuram piešķirtas iepirkuma līguma slēgšanas tiesības, neparaksta iepirkuma līgumu vai vispārīgo vienošanos pasūtītāja noteiktajā termiņā. Šie gadījumi pilnībā atbilst <context> kontekstā norādītajiem nosacījumiem par piedāvājuma nodrošinājuma izmaksāšanu pasūtītājam.""
}
```"
LNP_201976,36,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādītas prasības attiecībā uz piedāvājuma/pieteikuma noformējumu un iesniegšanu, kā arī finanšu piedāvājuma formu. Piemēram, kontekstā ir minēts, ka piedāvājums jāiesniedz elektroniski EIS e-konkursu apakšsistēmā, jāievēro sadaļā 'Prasības' norādītās formas un norādes, un finanšu piedāvājums jāiesniedz atbilstoši nolikuma 6. pielikumā pievienotajai veidlapai, pievienojot aizpildītas tāmes. Tāpat ir norādītas prasības par līgumcenas noteikšanu un tāmju noformējumu.""
}
```"
LNP_201976,37.1,kontekstā nav informācijas,jā,"```json
{
  ""answer"": ""kontekstā nav informācijas"",
  ""rate"": ""vidēja"",
  ""explanation"": ""Kontekstā ir sniegts iepirkuma priekšmeta apraksts, kas attiecas uz sociālo pakalpojumu centra būvdarbiem, un minēts, ka iepirkums tiek veikts ERAF finansētās darbības programmas ietvaros. Tomēr nav konkrētas informācijas, kas tieši salīdzina šo aprakstu ar SAM MK noteikumu prasībām. Lai sniegtu precīzu atbildi, būtu nepieciešams piekļūt attiecīgajiem SAM MK noteikumiem un veikt salīdzinājumu ar nolikuma aprakstu.""
}
```"
LNP_201976,37.2-0,nē,jā,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājuma sagatavošanā par apgaismojuma izbūvi jāņem vērā 2017. gada 20. jūnija Ministru Kabineta noteikumu Nr. 353 'Prasības zaļajam publiskajam iepirkumam un to piemērošanas kārtība' 1. pielikuma 6. sadaļā iekļautās prasības. Tomēr nav minēts, ka par zaļā publiskā iepirkuma kritēriju piemērošanu tiktu piešķirti punkti vai ka tie būtu daļa no vērtēšanas kritērijiem.""
}
```"
LNP_201976,37.2,n/a,jā,
LNP_201976,37.3,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Saskaņā ar Publisko iepirkumu likuma (PIL) 1. pantu, tehniskās specifikācijas tiek ietvertas iepirkuma procedūras dokumentos un nosaka būvdarbiem, pakalpojumiem vai piegādēm izvirzītās prasības. Tehniskās specifikācijas nodrošina vienādas iespējas visiem pretendentiem un nerada nepamatotus ierobežojumus konkurencei iepirkumā. Kontekstā norādīts, ka pretendenti var piedāvāt ekvivalentus materiālus un izstrādājumus, ja tie atbilst tehniskajām prasībām, kas apliecina, ka diskriminācija vai konkurences ierobežojumi nav pieļauti.""
}
```"
LNP_201976,37.4-0,jā,nē,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka 'Visas atklāta konkursa nolikuma Tehniskās specifikācijas pielikumos pievienotajā Būvprojektā un darbu apjomos iekļautās norādes uz konkrētu izstrādājumu vai materiālu, tā tirdzniecības marku vai izcelsmi raksturo šim materiālam vai izstrādājumam izvirzīto prasību līmeni pretendentam ir tiesības piedāvāt ekvivalentus izstrādājumus un materiālus, ja tas nav pretrunā ar projekta tehniskajiem risinājumiem.' Tas nozīmē, ka ir norādīti konkrēti izstrādājumi vai materiāli, bet ir atļauts piedāvāt ekvivalentus risinājumus.""
}
```"
LNP_201976,37.4,jā,nē,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts: 'Visas atklāta konkursa nolikuma Tehniskās specifikācijas pielikumos pievienotajā Būvprojektā un darbu apjomos iekļautās norādes uz konkrētu izstrādājumu vai materiālu, tā tirdzniecības marku vai izcelsmi raksturo šim materiālam vai izstrādājumam izvirzīto prasību līmeni pretendentam ir tiesības piedāvāt ekvivalentus izstrādājumus un materiālus, ja tas nav pretrunā ar projekta tehniskajiem risinājumiem.' Tas nozīmē, ka norāde 'vai ekvivalents' attiecas uz visām šīm atsaucēm.""
}
```"
LNP_201976,37.5-0,jā,nē,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka piedāvājuma sagatavošanā jāņem vērā Ministru Kabineta noteikumu Nr. 353 “Prasības zaļajam publiskajam iepirkumam un to piemērošanas kārtība” 1. pielikuma 6. sadaļā iekļautās prasības. Tas norāda uz īpašu prasību ievērošanu, kas var ietvert arī marķējumu kā pierādījumu atbilstībai noteiktajām prasībām.""
}
```"
LNP_201976,37.5,jā,n/a,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka pasūtītājs, sagatavojot piedāvājumu par apgaismojuma izbūvi, ir pieprasījis ievērot Ministru kabineta noteikumu Nr. 353 “Prasības zaļajam publiskajam iepirkumam un to piemērošanas kārtība” 1. pielikuma 6. sadaļā iekļautās prasības. Šīs prasības atbilst vides aizsardzības kritērijiem, un tās ir iekļautas tehniskajās specifikācijās. Turklāt <law> izvilkumā norādītie nosacījumi par marķējuma prasību objektivitāti, pieejamību un nediskriminējošu raksturu ir ievēroti, jo kontekstā nav minēti nekādi pretrunīgi vai diskriminējoši nosacījumi.""
}
```"
LNP_201976,37.6,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka objektā pielietojamiem materiāliem jāatbilst ekspluatācijas un Latvijas būvnormatīvu prasībām un jābūt sertificētiem, taču nav noteikts, ka tiem obligāti jābūt reģistrētiem konkrētā reģistrā vai ražotiem Eiropas Savienībā. Tas nozīmē, ka ārvalstīs sertificēti un reģistrēti materiāli, kas atbilst attiecīgo normatīvo aktu prasībām, var tikt piedāvāti. Fragments: 'Materiāli, iekārtas: objektā pielietojamiem materiāliem jāatbilst ekspluatācijas un Latvijas būvnormatīvu prasībām un jābūt sertificētiem.'""
}
```"
